image,mean_r,mean_g,mean_b
00_0002,0.2021220764256138,0.4687425935422931,0.3291353300320931
00_0004,0.20212808115752626,0.4679428155918384,0.3299291032506353
00_0007,0.2153237921195389,0.4701740352155435,0.3145021726649177
00_0013,0.20174753812059407,0.4692654989804153,0.3289869628989905
00_0015,0.28919689919570657,0.4978594856439992,0.2129436151602941
00_0016,0.20072707046445906,0.4697111789470906,0.3295617505884504
00_0021,0.2037386017275476,0.4695255973994972,0.32673580087295523
00_0022,0.20244098243553627,0.4733614407767969,0.32419757678766675
00_0024,0.2014897591934424,0.4704731449531663,0.32803709585339125
00_0025,0.3915998269575497,0.4582867762303604,0.1501133968120899
00_0028,0.19780903938463448,0.466606637884169,0.3355843227311964
00_0030,0.3828059803059606,0.4599614467624379,0.15723257293160142
00_0035,0.4723759687029852,0.4514218121485292,0.07620221914848564
00_0037,0.20676095519813972,0.4690042964608963,0.32423474834096405
00_0038,0.1879187538326997,0.458728704106202,0.3533525420610982
00_0040,0.3833150447826373,0.46041663397063204,0.15626832124673076
00_0044,0.20305266848652131,0.4707563192426342,0.3261910122708445
00_0045,0.3804307093798931,0.4636909227470033,0.15587836787310366
00_0049,0.20224662667859586,0.46978557197214393,0.3279678013492601
00_0053,0.20312464374842326,0.4670373093174813,0.32983804693409546
00_0060,0.2770347864099155,0.493038364937957,0.22992684865212745
00_0065,0.3816089163495971,0.4619531551479704,0.15643792850243246
00_0066,0.20154219156822445,0.4693623661268755,0.3290954423049
00_0070,0.3913946119204429,0.4570314917806607,0.15157389629889634
00_0071,0.20075413710657108,0.47120513944663794,0.3280407234467909
00_0074,0.19883027817352453,0.466432114683281,0.33473760714319445
00_0075,0.3543070753619871,0.4797402507303847,0.1659526739076282
00_0085,0.3824882378306074,0.46024467235743,0.1572670898119627
00_0094,0.20565527287236995,0.4688574676799307,0.3254872594476993
00_0096,0.2009914819967437,0.4669925020817582,0.3320160159214981
00_0098,0.209080090143338,0.470507999641013,0.32041191021564897
00_0100,0.4843260084800102,0.4389799517834011,0.07669403973658871
00_0101,0.20781072816380528,0.4686960961385165,0.3234931756976781
00_0106,0.20173937954281185,0.4683582819266616,0.3299023385305266
00_0110,0.3841221727813253,0.45944763825024704,0.1564301889684278
00_0112,0.2074678845820428,0.4690914270687099,0.3234406883492471
00_0115,0.29132685083167664,0.4891283487586081,0.21954480040971536
00_0117,0.2039458060423852,0.4659117895631529,0.330142404394462
00_0124,0.1890929025068024,0.4605509341433158,0.3503561633498818
00_0130,0.3837070429770129,0.4604503546252967,0.15584260239769007
00_0135,0.3907121830763549,0.4590115666108697,0.1502762503127754
00_0144,0.2014486994000575,0.4689806805422946,0.3295706200576479
00_0149,0.20282858893725275,0.4709794442722069,0.3261919667905404
00_0150,0.3823129479429525,0.4616496503479532,0.15603740170909428
00_0151,0.20002488555392656,0.468576409871894,0.3313987045741795
00_0155,0.38144064874369465,0.4620944385493215,0.15646491270698384
00_0160,0.2864428906879385,0.4914777797748904,0.2220793295371711
00_0161,0.1615116136505079,0.4556847469814572,0.38280363936803496
00_0165,0.3750490432958816,0.4796729159449071,0.14527804075921144
00_0167,0.20206929659998468,0.4670371219131387,0.3308935814868765
00_0169,0.20234070745725666,0.4691989731514078,0.32846031939133546
00_0170,0.3736273538642687,0.4842127184814822,0.14215992765424906
00_0174,0.20216388196872007,0.4684714173966183,0.3293647006346615
00_0175,0.3804007021643615,0.4593971247697027,0.16020217306593584
00_0176,0.20099193673271545,0.4690173815808101,0.3299906816864745
