,epoch,epoch_loss,validation_loss,time
0,1,0.019667053090499896,0.0004045779714093176,0 days 00:00:53.829445
1,2,0.0006969150113867928,0.000602428884867243,0 days 00:01:45.098192
2,3,0.0016531769946242765,0.0016319140898299663,0 days 00:02:36.407848
3,4,0.0006502396505931497,0.00104662691692112,0 days 00:03:27.708757
4,5,0.0007360237382528946,0.0013601633500194032,0 days 00:04:18.951298
5,6,0.0008174651312908793,0.0003374321719494662,0 days 00:05:10.205847
6,7,0.0015395582952109875,0.0005500526452776891,0 days 00:06:01.484179
7,8,0.0011424608367656065,0.00040328607998636566,0 days 00:06:52.763387
8,9,0.0005529750348489236,0.0013560046766615923,0 days 00:07:44.051548
9,10,0.0006446882669943223,0.0006119505163813956,0 days 00:08:35.337689
10,11,0.0006087174590227129,0.0012985577536130373,0 days 00:09:26.597011
11,12,0.0010422185924257369,0.0007719796015938284,0 days 00:10:17.840838
12,13,0.001139503691616651,0.0019915713801536314,0 days 00:11:09.022105
13,14,0.0009005556299109916,0.00022605033407350846,0 days 00:12:00.204638
14,15,0.0007450890218976751,0.0003827105866555016,0 days 00:12:51.363670
15,16,0.000599841917045078,0.00026775241233008566,0 days 00:13:42.579870
16,17,0.00045080602147488203,0.0006406945540794089,0 days 00:14:33.771781
17,18,0.00023600359628427433,0.000230862574309563,0 days 00:15:24.952659
18,19,0.00018677338449290742,0.0005635307204395301,0 days 00:16:16.147514
19,20,0.00048009222060647997,0.001416908167355441,0 days 00:17:07.294309
20,21,0.0005212553158459205,0.000831480975333854,0 days 00:17:58.595894
21,22,0.0005594469002068556,0.0008206283288576122,0 days 00:18:49.893724
22,23,0.0003433501243835176,0.0002175788749087895,0 days 00:19:41.089519
23,24,0.00022358973954676002,0.0014210082268553308,0 days 00:20:32.244347
