,Unnamed: 0,img_names,pred_r,pred_g,pred_b,gt_r,gt_g,gt_b,mse_loss
2,2,00_0019,0.1846170276403427,0.4759989678859711,0.339383989572525,0.2004178360762609,0.4697529928208987,0.3298291711028403,0.00014433887587104454
22,22,00_0238,0.19310247898101807,0.4739671945571899,0.332930326461792,0.2110111205610102,0.4716291122189998,0.31735976721999,0.00016309303613039008
10,10,00_0126,0.17404718697071075,0.471251130104065,0.3547016978263855,0.19423617462802176,0.4657331187159781,0.3400307066560001,0.00021902183615305602
42,42,00_0421,0.17800140380859375,0.4727789461612701,0.3492196500301361,0.20285648817112006,0.4692294519562126,0.3279140598726673,0.0003151870638900187
8,8,00_0119,0.1780061274766922,0.476638674736023,0.34535521268844604,0.2029783880701088,0.4694359172712758,0.32758569465861537,0.0003377467571207388
30,30,00_0310,0.329933762550354,0.4760799705982208,0.1939862668514252,0.4696741285622568,0.4473158890999532,0.08300998233779006,0.010177371138789774
25,25,00_0275,0.2658095061779022,0.4947917461395264,0.23939871788024905,0.37663914383845215,0.4600613875442109,0.1632994686173369,0.006744703196063995
24,24,00_0260,0.17245399951934814,0.4879759550094605,0.3395700454711914,0.2857933471436649,0.4934747578308056,0.22073189502552956,0.006438022276186874
32,32,00_0360,0.1849006861448288,0.4997535347938538,0.31534576416015625,0.297259634969569,0.4958374349639201,0.20690293006651092,0.0063199346094392934
27,27,00_0285,0.2823996245861053,0.4892826080322266,0.2283177375793457,0.3877249155532618,0.46110553939238,0.1511695450543582,0.005943682057225394
