,Unnamed: 0,img_names,pred_r,pred_g,pred_b,gt_r,gt_g,gt_b,mse_loss
16,16,00_0171,0.19951310753822327,0.4692729115486145,0.3312140107154846,0.20045132293455456,0.4702886081890904,0.329260068876355,9.55943897693563e-07
21,21,00_0218,0.20072034001350406,0.4713719487190247,0.3279077410697937,0.20043666623659886,0.4690465192523161,0.33051681451108506,2.7440465081700267e-06
36,36,00_0374,0.19952481985092166,0.4675272405147553,0.3329479396343231,0.1995064132100592,0.4651532825145221,0.3353403042754187,2.8180076956494223e-06
1,1,00_0011,0.1972983479499817,0.4715267419815064,0.331174910068512,0.19930239889614626,0.4692735155569186,0.3314240855469352,4.546624757641805e-06
0,0,00_0010,0.3846949338912964,0.462579071521759,0.15272599458694458,0.3864471120297919,0.4596439138217117,0.1539089741484964,5.842639476584289e-06
40,40,00_0399,0.21859383583068848,0.4869910180568695,0.294415146112442,0.1604549524711274,0.4530614806213571,0.3864835669075155,0.002265671634442243
3,3,00_0046,0.2469508945941925,0.4732886552810669,0.279760479927063,0.1962869460716579,0.4632586889117196,0.3404543650166225,0.0013337179526321373
32,32,00_0360,0.2507698833942413,0.4911617040634155,0.2580684423446655,0.297259634969569,0.4958374349639201,0.20690293006651092,0.001091579730494806
22,22,00_0238,0.2503805458545685,0.4748972058296204,0.27472227811813354,0.2110111205610102,0.4716291122189998,0.31735976721999,0.0007803160418964225
9,9,00_0125,0.30226388573646545,0.4668961465358734,0.2308399975299835,0.2760604184052497,0.4958473270449349,0.2280922545498153,0.0007623962765231764
