,Unnamed: 0,img_names,pred_r,pred_g,pred_b,gt_r,gt_g,gt_b,mse_loss
40,40,00_0399,0.0,0.0,1.0,0.1604549524711274,0.4530614806213571,0.3864835669075155,0.115505248497664
13,13,00_0146,0.0,0.0,1.0,0.1736478893808539,0.4547211060123663,0.3716310046067797,0.1184624368697674
26,26,00_0281,0.0,0.0,1.0,0.1918643730083491,0.4611063323989907,0.3470292945926602,0.1247154937041677
3,3,00_0046,0.0,0.0,1.0,0.1962869460716579,0.4632586889117196,0.3404543650166225,0.1265685890251716
10,10,00_0126,0.0,0.0,1.0,0.1942361746280217,0.4657331187159781,0.3400307066560002,0.1273175147015193
47,47,00_0535,0.0,0.0,1.0,0.4638690300773541,0.4536789172062875,0.0824520527163584,0.2104995184911873
30,30,00_0310,0.0,0.0,1.0,0.4696741285622568,0.4473158890999532,0.08300998233779,0.2103426458409985
27,27,00_0285,0.0,0.0,1.0,0.3877249155532618,0.46110553939238,0.1511695450543581,0.1814744642995608
0,0,00_0010,0.0,0.0,1.0,0.3864471120297919,0.4596439138217117,0.1539089741484964,0.1803069489547538
25,25,00_0275,0.0,0.0,1.0,0.3766391438384521,0.4600613875442109,0.163299468617337,0.1767567624902334
